unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url
3163,3098,286,3,"Takeya Mizugaki",0,29,49,2,2,0,3:53,0,1,12,27,0,0,2,2,3,9,1,2,10,18,3098,"UFC Macao: Franklin vs Le","Takeya Mizugaki","Jeff Hougland",Bantamweight,U-DEC,NULL,3,5:00,e881ba0a28fffb6e
3164,3098,286,3,"Jeff Hougland",0,26,35,1,2,0,0:03,0,0,0,5,0,1,0,0,0,6,0,0,0,0,3098,"UFC Macao: Franklin vs Le","Takeya Mizugaki","Jeff Hougland",Bantamweight,U-DEC,NULL,3,5:00,e881ba0a28fffb6e
4319,1082,98,1,"Ian Entwistle",0,0,2,0,1,1,0:13,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1082,"UFC Fight Night: Rothwell vs Dos Santos","Alejandro Perez","Ian Entwistle",Bantamweight,KO/TKO,Punches,1,4:04,d1d7400c131ed40e
4320,1082,98,1,"Alejandro Perez",0,87,115,0,0,0,1:46,0,1,48,67,0,0,0,0,2,4,0,0,46,63,1082,"UFC Fight Night: Rothwell vs Dos Santos","Alejandro Perez","Ian Entwistle",Bantamweight,KO/TKO,Punches,1,4:04,d1d7400c131ed40e
4373,674,61,1,"Teruto Ishihara",1,18,48,0,0,0,0:12,0,0,12,36,1,5,4,6,11,35,6,10,0,2,674,"UFC 234: Adesanya vs. Silva","Kyung Ho Kang","Teruto Ishihara",Bantamweight,SUB,"Rear Naked Choke",1,3:59,b247a1900cfae052
4374,674,61,1,"Kyung Ho Kang",1,30,62,1,1,1,1:14,0,1,19,46,7,12,0,0,15,40,11,18,0,0,674,"UFC 234: Adesanya vs. Silva","Kyung Ho Kang","Teruto Ishihara",Bantamweight,SUB,"Rear Naked Choke",1,3:59,b247a1900cfae052
4375,2297,216,1,"Teruto Ishihara",0,11,30,0,2,0,0:18,0,0,4,18,2,5,5,7,9,28,2,2,0,0,2297,"UFC Fight Night: Cowboy vs. Edwards","Petr Yan","Teruto Ishihara",Bantamweight,KO/TKO,Punch,1,3:28,8167bd097a16062f
4376,2297,216,1,"Petr Yan",2,29,45,0,0,0,0:04,0,1,18,32,7,8,0,0,19,31,1,1,5,8,2297,"UFC Fight Night: Cowboy vs. Edwards","Petr Yan","Teruto Ishihara",Bantamweight,KO/TKO,Punch,1,3:28,8167bd097a16062f
4519,3156,291,1,"Erik Perez",0,35,59,3,3,0,2:35,0,1,6,25,2,4,8,11,11,29,2,7,3,4,3156,"UFC 167: St-Pierre vs Hendricks","Erik Perez","Edwin Figueroa",Bantamweight,U-DEC,NULL,3,5:00,9cc0582c703637aa
4520,3156,291,1,"Edwin Figueroa",0,9,28,0,0,0,0:00,0,0,5,23,2,2,0,1,7,24,0,2,0,0,3156,"UFC 167: St-Pierre vs Hendricks","Erik Perez","Edwin Figueroa",Bantamweight,U-DEC,NULL,3,5:00,9cc0582c703637aa
4521,3156,291,2,"Erik Perez",1,39,51,2,3,0,3:31,0,2,14,24,5,7,1,1,11,21,2,2,7,9,3156,"UFC 167: St-Pierre vs Hendricks","Erik Perez","Edwin Figueroa",Bantamweight,U-DEC,NULL,3,5:00,9cc0582c703637aa
4522,3156,291,2,"Edwin Figueroa",0,8,30,0,0,0,0:00,0,0,6,25,2,4,0,1,8,30,0,0,0,0,3156,"UFC 167: St-Pierre vs Hendricks","Erik Perez","Edwin Figueroa",Bantamweight,U-DEC,NULL,3,5:00,9cc0582c703637aa
4523,3156,291,3,"Erik Perez",0,46,68,2,2,0,2:28,0,2,5,21,6,11,3,4,7,26,3,5,4,5,3156,"UFC 167: St-Pierre vs Hendricks","Erik Perez","Edwin Figueroa",Bantamweight,U-DEC,NULL,3,5:00,9cc0582c703637aa
4524,3156,291,3,"Edwin Figueroa",0,4,30,0,0,0,0:00,0,0,2,26,1,3,0,0,3,26,0,3,0,0,3156,"UFC 167: St-Pierre vs Hendricks","Erik Perez","Edwin Figueroa",Bantamweight,U-DEC,NULL,3,5:00,9cc0582c703637aa
